315.2,,,,,,,,,,,,,
315.3,,,,,,,,,,,,,
315.4,,,,,,,,,,,,,
315.5,,,,,,,,,,,,,
315.6,,,,,,,,,,,,,
315.7,,,,,,,,,,,,,
315.8,,,,,,,,,,,,,
315.9,,,,,,,,,,,,,
316.0,,,,,,,,,,,,,
316.1,,,,,,,,,,,,,
316.2,,,,,,,,,,,,,
316.3,,,,,,,,,,,,,
316.4,,,,,,,,,,,,,
316.5,,,,,,,,,,,,,
316.6,,,,,,,,,,,,,
316.7,,,,,,,,,,,,,
316.8,,,,,,,,,,,,,
316.9,,,,,,,,,,,,,
317.0,,,,,,,,,,,,,
317.1,,,,,,,,,,,,,
317.2,,,,,,,,,,,,,
317.3,,,,,,,,,,,,,
317.4,,,,,,,,,,,,,
317.5,,,,,,,,,,,,,
317.6,,,,,,,,,,,,,
317.7,,,,,,,,,,,,,
317.8,,,,,,,,,,,,,
317.9,,,,,,,,,,,,,
318.0,,,,,,,,,,,,,
318.1,,,,,,,,,,,,,
318.2,,,,,,,,,,,,,
318.3,,,,,,,,,,,,,
318.4,,,,,,,,,,,,,
318.5,,,,,,,,,,,,,
318.6,,,,,,,,,,,,,
318.7,,,,,,,,,,,,,
318.8,,,,,,,,,,,,,
318.9,,,,,,,,,,,,,
319.0,,,,,,,,,,,,,
319.1,,,,,,,,,,,,,
319.2,,,,,,,,,,,,,
319.3,,,,,,,,,,,,,
319.4,,,,,,,,,,,,,
319.5,,,,,,,,,,,,,
319.6,,,,,,,,,,,,,
319.7,,,,,,,,,,,,,
319.8,,,,,,,,,,,,,
319.9,,,,,,,,,,,,,
320.0,,,,,,,,,,,,,
320.1,,,,,,,,,,,,,
320.2,,,,,,,,,,,,,
320.3,,,,,,,,,,,,,
320.4,,,,,,,,,,,,,
320.5,,,,,,,,,,,,,
320.6,,,,,,,,,,,,,
320.7,,,,,,,,,,,,,
320.8,,,,,,,,,,,,,
320.9,,,,,,,,,,,,,
321.0,,,,,,,,,,,,,
321.1,,,,,,,,,,,,,
321.2,,,,,,,,,,,,,
321.3,,,,,,,,,,,,,
321.4,,,,,,,,,,,,,
321.5,,,,,,,,,,,,,
321.6,,,,,,,,,,,,,
321.7,,,,,,,,,,,,,
321.8,,,,,,,,,,,,,
321.9,,,,,,,,,,,,,
322.0,,,,,,,,,,,,,
322.1,,,,,,,,,,,,,
322.2,,,,,,,,,,,,,
322.3,,,,,,,,,,,,,
322.4,,,,,,,,,,,,,
322.5,,,,,,,,,,,,,
322.6,,,,,,,,,,,,,
322.7,,,,,,,,,,,,,
322.8,,,,,,,,,,,,,
322.9,,,,,,,,,,,,,
323.0,,,,,,,,,,,,,
323.1,,,,,,,,,,,,,
323.2,,,,,,,,,,,,,
323.3,,,,,,,,,,,,,
323.4,,,,,,,,,,,,,
323.5,,,,,,,,,,,,,
323.6,,,,,,,,,,,,,
323.7,,,,,,,,,,,,,
323.8,,,,,,,,,,,,,
323.9,,,,,,,,,,,,,
324.0,,,,,,,,,,,,,
324.1,,,,,,,,,,,,,
324.2,,,,,,,,,,,,,
324.3,,,,,,,,,,,,,
324.4,,,,,,,,,,,,,
324.5,,,,,,,,,,,,,
324.6,,,,,,,,,,,,,
324.7,,,,,,,,,,,,,
324.8,,,,,,,,,,,,,
324.9,,,,,,,,,,,,,
325.0,,,,,,,,,,,,,
325.1,,,,,,,,,,,,,
325.2,,,,,,,,,,,,,
325.3,,,,,,,,,,,,,
325.4,,,,,,,,,,,,,
325.5,,,,,,,,,,,,,
325.6,,,,,,,,,,,,,
325.7,,,,,,,,,,,,,
325.8,,,,,,,,,,,,,
325.9,,,,,,,,,,,,,
326.0,,,,,,,,,,,,,
326.1,,,,,,,,,,,,,
326.2,,,,,,,,,,,,,
326.3,,,,,,,,,,,,,
326.4,,,,,,,,,,,,,
326.5,,,,,,,,,,,,,
326.6,,,,,,,,,,,,,
326.7,,,,,,,,,,,,,
326.8,,,,,,,,,,,,,
326.9,,,,,,,,,,,,,
327.0,,,,,,,,,,,,,
327.1,,,,,,,,,,,,,
327.2,,,,,,,,,,,,,
327.3,,,,,,,,,,,,,
327.4,,,,,,,,,,,,,
327.5,,,,,,,,,,,,,
327.6,,,,,,,,,,,,,
327.7,,,,,,,,,,,,,
327.8,,,,,,,,,,,,,
327.9,,,,,,,,,,,,,
328.0,,,,,,,,,,,,,
328.1,,,,,,,,,,,,,
328.2,,,,,,,,,,,,,
328.3,,,,,,,,,,,,,
328.4,,,,,,,,,,,,,
328.5,,,,,,,,,,,,,
328.6,,,,,,,,,,,,,
328.7,,,,,,,,,,,,,
328.8,,,,,,,,,,,,,
328.9,,,,,,,,,,,,,
329.0,,,,,,,,,,,,,
329.1,,,,,,,,,,,,,
329.2,,,,,,,,,,,,,
329.3,,,,,,,,,,,,,
329.4,,,,,,,,,,,,,
329.5,,,,,,,,,,,,,
329.6,,,,,,,,,,,,,
329.7,,,,,,,,,,,,,
329.8,,,,,,,,,,,,,
329.9,,,,,,,,,,,,,
330.0,,,,,,,,,,,,,
330.1,,,,,,,,,,,,,
330.2,,,,,,,,,,,,,
330.3,,,,,,,,,,,,,
330.4,,,,,,,,,,,,,
330.5,,,,,,,,,,,,,
330.6,,,,,,,,,,,,,
330.7,,,,,,,,,,,,,
330.8,,,,,,,,,,,,,
330.9,,,,,,,,,,,,,
331.0,,,,,,,,,,,,,
331.1,,,,,,,,,,,,,
331.2,,,,,,,,,,,,,
331.3,,,,,,,,,,,,,
331.4,,,,,,,,,,,,,
331.5,,,,,,,,,,,,,
331.6,,,,,,,,,,,,,
331.7,,,,,,,,,,,,,
331.8,,,,,,,,,,,,,
331.9,,,,,,,,,,,,,
332.0,,,,,,,,,,,,,
332.1,,,,,,,,,,,,,
332.2,,,,,,,,,,,,,
332.3,,,,,,,,,,,,,
332.4,,,,,,,,,,,,,
332.5,,,,,,,,,,,,,
332.6,,,,,,,,,,,,,
332.7,,,,,,,,,,,,,
332.8,,,,,,,,,,,,,
332.9,,,,,,,,,,,,,
333.0,,,,,,,,,,,,,
333.1,,,,,,,,,,,,,
333.2,,,,,,,,,,,,,
333.3,,,,,,,,,,,,,
333.4,,,,,,,,,,,,,
333.5,,,,,,,,,,,,,
333.6,,,,,,,,,,,,,
333.7,,,,,,,,,,,,,
333.8,,,,,,,,,,,,,
333.9,,,,,,,,,,,,,
334.0,,,,,,,,,,,,,
334.1,,,,,,,,,,,,,
334.2,,,,,,,,,,,,,
334.3,,,,,,,,,,,,,
334.4,,,,,,,,,,,,,
334.5,,,,,,,,,,,,,
334.6,,,,,,,,,,,,,
334.7,,,,,,,,,,,,,
334.8,,,,,,,,,,,,,
334.9,,,,,,,,,,,,,
335.0,,,,,,,,,,,,,
335.1,,,,,,,,,,,,,
335.2,,,,,,,,,,,,,
335.3,,,,,,,,,,,,,
335.4,,,,,,,,,,,,,
335.5,,,,,,,,,,,,,
335.6,,,,,,,,,,,,,
335.7,,,,,,,,,,,,,
335.8,,,,,,,,,,,,,
335.9,,,,,,,,,,,,,
336.0,,,,,,,,,,,,,
336.1,,,,,,,,,,,,,
336.2,,,,,,,,,,,,,
336.3,,,,,,,,,,,,,
336.4,,,,,,,,,,,,,
336.5,,,,,,,,,,,,,
336.6,,,,,,,,,,,,,
336.7,,,,,,,,,,,,,
336.8,,,,,,,,,,,,,
336.9,,,,,,,,,,,,,
337.0,,,,,,,,,,,,,
337.1,,,,,,,,,,,,,
337.2,,,,,,,,,,,,,
337.3,,,,,,,,,,,,,
337.4,,,,,,,,,,,,,
337.5,,,,,,,,,,,,,
337.6,,,,,,,,,,,,,
337.7,,,,,,,,,,,,,
337.8,,,,,,,,,,,,,
337.9,,,,,,,,,,,,,
338.0,,,,,,,,,,,,,
338.1,,,,,,,,,,,,,
338.2,,,,,,,,,,,,,
338.3,,,,,,,,,,,,,
338.4,,,,,,,,,,,,,
338.5,,,,,,,,,,,,,
338.6,,,,,,,,,,,,,
338.7,,,,,,,,,,,,,
338.8,,,,,,,,,,,,,
338.9,,,,,,,,,,,,,
339.0,,,,,,,,,,,,,
339.1,,,,,,,,,,,,,
339.2,,,,,,,,,,,,,
339.3,,,,,,,,,,,,,
339.4,,,,,,,,,,,,,
339.5,,,,,,,,,,,,,
339.6,,,,,,,,,,,,,
339.7,,,,,,,,,,,,,
339.8,,,,,,,,,,,,,
339.9,,,,,,,,,,,,,
340.0,,,,1e-06,,,,,,,,,
340.1,,,,1e-06,,,,,,,,,
340.2,,,,1e-06,,,,,,,,,
340.3,,,,1e-06,,,,,,,,,
340.4,,,,1e-06,,,,,,,,,
340.5,,,,1e-06,,,,,,,,,
340.6,,,,1e-06,,,,,,,,,
340.7,,,,1e-06,,,,,,,,,
340.8,,,,1e-06,,,,,,,,,
340.9,,,,1e-06,,,,,,,,,
341.0,,,,1e-06,,,,,,,,,
341.1,,,,1e-06,,,,,,,,,
341.2,,,,1e-06,,,,,,,,,
341.3,,,,1e-06,,,,,,,,,
341.4,,,,1e-06,,,,,,,,,
341.5,,,,1e-06,,,,,,,,,
341.6,,,,1e-06,,,,,,,,,
341.7,,,,1e-06,,,,,,,,,
341.8,,,,1e-06,,,,,,,,,
341.9,,,,1e-06,,,,,,,,,
342.0,,,,1e-06,,,,,,,,,
342.1,,,,1e-06,,,,,,,,,
342.2,,,,1e-06,,,,,,,,,
342.3,,,,1e-06,,,,,,,,,
342.4,,,,1e-06,1e-06,,,,,,,,
342.5,,,,1e-06,1e-06,,,,,,,,
342.6,,,,1e-06,1e-06,,,,,,,,
342.7,,,,1e-06,1e-06,,,,,,,,
342.8,,,,1e-06,1e-06,,,,,,,,
342.9,,,,1e-06,1e-06,,,,,,,,
343.0,,,,1e-06,1e-06,,,,,,,,
343.1,,,,1e-06,1e-06,,,,,,,,
343.2,,,,1e-06,1e-06,,,,,,,,
343.3,,,,1e-06,1e-06,,,,,,,,
343.4,,,,1e-06,1e-06,,,,,,,,
343.5,,,,1e-06,,,,,,,,,
343.6,,,,1e-06,,,,,,,,,
343.7,,,,1e-06,,,,,,,,,
343.8,,,,1e-06,,,,,,,,,
343.9,,,,1e-06,,,,,,,,,
344.0,,,,1e-06,,,,,,,,,
344.1,,,,1e-06,,,,,,,,,
344.2,,,,,,,,,,,,,
344.3,,,,,,,,,,,,,
344.4,,,,,1e-06,,,,,,,,
344.5,,,,,1e-06,,,,,,,,
344.6,,,1e-06,,1e-06,,,,,,,,
344.7,,,1e-06,,1e-06,,,,,,,,
344.8,,,1e-06,,1e-06,,,,,,,,
344.9,,,1e-06,,1e-06,,,,,,,,
345.0,,,1e-06,1e-06,1e-06,,,,,,,,
345.1,,,1e-06,1e-06,1e-06,,,,,,,,
345.2,,,1e-06,1e-06,1e-06,,,,,,,,
345.3,,,1e-06,1e-06,1e-06,,,,,,,,
345.4,,,1e-06,1e-06,1e-06,,,,,,,,
345.5,,,1e-06,1e-06,1e-06,,,,,,,,
345.6,,,1e-06,,1e-06,,,,,,,,
345.7,,,1e-06,,1e-06,,,,,,,,
345.8,,,1e-06,,1e-06,,,,,,,,
345.9,,,1e-06,,1e-06,,,,,,,,
346.0,,,1e-06,,1e-06,,,,,,,,
346.1,,,1e-06,,1e-06,,,,,,,,
346.2,,,1e-06,,1e-06,,,,,,,,
346.3,,,1e-06,,1e-06,,,,,,,,
346.4,,,1e-06,,1e-06,,,,,,,,
346.5,,,1e-06,,,,,,,,,,
346.6,,,1e-06,,,,,,,,,,
346.7,,,1e-06,,,,,,,,,,
346.8,,,1e-06,,,,,,,,,,
346.9,,,1e-06,,,,,,,,,,
347.0,,,1e-06,,,,,,,,,,
347.1,,,1e-06,,,,,,,,,,
347.2,,,1e-06,,1e-06,,,,,,,,
347.3,,,1e-06,,1e-06,,,,,,,,
347.4,,,1e-06,,1e-06,,,,,,,,
347.5,,,1e-06,,1e-06,,,,,,,,
347.6,,,1e-06,,1e-06,,,,,,,,
347.7,,,1e-06,,1e-06,,,,,,,,
347.8,,,1e-06,,1e-06,,,,,,,,
347.9,,,2e-06,,1e-06,,,,,,,,
348.0,,,2e-06,,1e-06,,,,,,,,
348.1,,,2e-06,,1e-06,,,,,,,,
348.2,,,2e-06,,1e-06,,,,,,,,
348.3,,,2e-06,,1e-06,,,,,,,,
348.4,,,2e-06,,1e-06,,,,,,,,
348.5,,,2e-06,,1e-06,,,,,,,,
348.6,,,1e-06,,1e-06,,,,,,,,
348.7,,,1e-06,,1e-06,,,,,,,,
348.8,,,1e-06,,,,,,,,,,
348.9,,,,,,,,,,,,,
349.0,,,,,,,,,,,,,
349.1,,,,,,,,,,,,,
349.2,,1e-06,,,,,,,,,,,
349.3,,,,,,,,,,,,,
349.4,,,,,,,,,,,,,
349.5,,,,,,,,,,,,,
349.6,,,,,,,,,,,,,
349.7,,,,,,,,,,,,,
349.8,,,,,,,,,,,,,
349.9,,,,,,,,,,,,,
350.0,,,,,,,,,,,,,
350.1,,,,,,,,,,,,,
350.2,,,,,,,,,,,,,
350.3,,,,,,,,,,,,,
350.4,,,,,,,,,,,,,
350.5,,,,,,,,,,,,,
350.6,,,,,,,,,,,,,
350.7,,,,,,,,,,,,,
350.8,,,,,,,,,,,,,
350.9,,,,,,,,,,,,,
351.0,,,,,,,,,,,,,
351.1,,,,,,,,,,,,,
351.2,,,,,,,,,,,,,
351.3,,,,,,,,,,,,,
351.4,,,,,,,,,,,,,
351.5,,,,,,,,,,,,,
351.6,,,,,,,,,,,,,
351.7,,,,,,,,,,,,,
351.8,,,,,,,,,,,,,
351.9,,,,,,,,,,,,,
352.0,,,,,,,,,,,,,
352.1,,,,,,,,,,,,,
352.2,,,,,,,,,,,,,
352.3,,,,,,,,,,,,,
352.4,,,,,,,,,,,,,
352.5,,,,,,,,,,,,,
352.6,,,,,,,,,,,,,
352.7,,,,,,,,,,,,,
352.8,,,,,,,,,,,,,
352.9,,,,,,,,,,,,,
353.0,,,,,,,,,,,,,
353.1,,,,,,,,,,,,,
353.2,,,,,,,,,,,,,
353.3,,,,,,,,,,,,,
353.4,,,,,,,,,,,,,
353.5,,,,,,,,,,,,,
353.6,,,,,,,,,,,,,
353.7,,,,,,,,,,,,,
353.8,,,,,,,,,,,,,
353.9,,,,,,,,,,,,,
354.0,,,,,,,,,,,,,
354.1,,,,,,,,,,,,,
354.2,,,,,,,,,,,,,
354.3,,,,,,,,,,,,,
354.4,,,,,,,,,,,,,
354.5,,,,,,,,,,,,,
354.6,,,,,,,,,,,,,
354.7,,,,,,,,,,,,,
354.8,,,,,,,,,,,,,
354.9,,,,,,,,,,,,,
355.0,,,,,,,,,,,,,
355.1,,,,,,,,,,,,,
355.2,,,,,,,,,,,,,
355.3,,,,,,,,,,,,,
355.4,,,,,,,,,,,,,
355.5,,,,,,,,,,,,,
355.6,,,,,,,,,,,,,
355.7,,,,,,,,,,,,,
355.8,,,,,,,,,,,,,
355.9,,,,,,,,,,,,,
356.0,,,,,,,,,,,,,
356.1,,,,,,,,,,,,,
356.2,,,,,,,,,,,,,
356.3,,,,,,,,,,,,,
356.4,,,,,,,,,,,,,
356.5,,,,,,,,,,,,,
356.6,,,,,,,,,,,,,
356.7,,,,,,,,,,,,,
356.8,,,,,,,,,,,,,
356.9,,,,,,,,,,,,,
357.0,,,,,,,,,,,,,
357.1,,,,,,,,,,,,,
357.2,,,,,,,,,,,,,
357.3,,,,,,,,,,,,,
357.4,,,,,,,,,,,,,
357.5,,,,,,,,,,,,,
357.6,,,,,,,,,,,,,
357.7,,,,,,,,,,,,,
357.8,,,,,,,,,,,,,
357.9,,,,,,,,,,,,,
358.0,1e-06,,,,,,,,,,,,
358.1,1e-06,,,,,,,,,,,,
358.2,1e-06,,,,,,,,,,,,
358.3,2e-06,,,,,,,,,,,,
358.4,2e-06,,,,,,,,,,,,
358.5,2e-06,,,,,,,,,,,,
358.6,2e-06,,,,,,,,,,,,
358.7,3e-06,,,,,,,,,,,,
358.8,3e-06,,,,,,,,,,,,
358.9,3e-06,,,,,,,,,,,,
359.0,3e-06,,,,,,,,,,,,
359.1,3e-06,,,,,,,,,,,,
359.2,4e-06,1e-06,,,,,,,,,,,
359.3,4e-06,1e-06,,,,,,,,,,,
359.4,4e-06,1e-06,,,,,,,,,,,
359.5,4e-06,1e-06,,,,,,,,,,,
359.6,5e-06,1e-06,,,,,,,,,,,
359.7,5e-06,1e-06,,,,,,,,,,,
359.8,5e-06,1e-06,,,,,,,,,,,
359.9,6e-06,1e-06,,,,,,,,,,,
360.0,7e-06,1e-06,,,,,,,,,,,
360.1,8e-06,1e-06,,,,,,,,,,,
360.2,9e-06,1e-06,,,,,,,,,,,
360.3,9e-06,1e-06,,,,,,,,,,,
360.4,1e-05,1e-06,,,,,,,,,,,
360.5,1.1e-05,1e-06,,,,,,,,,,,
360.6,1.3e-05,1e-06,,,,,,,,,,,
360.7,1.4e-05,1e-06,,,,,,,,,,,
360.8,1.5e-05,1e-06,,,,,,,,,,,
360.9,1.6e-05,1e-06,,,,,,,,,,,
361.0,1.7e-05,1e-06,,,,,,,,,,,
361.1,1.7e-05,2e-06,,,,,,,,,,,
361.2,1.8e-05,2e-06,,,,,,,,,,,
361.3,1.9e-05,2e-06,,,,,,,,,,,
361.4,2e-05,2e-06,,,,,,,,,,,
361.5,2e-05,2e-06,,,,,,,,,,,
361.6,2.1e-05,2e-06,,,,,,,,,,,
361.7,2.2e-05,2e-06,,,,,,,,,,,
361.8,2.3e-05,2e-06,,,,,,,,,,,
361.9,2.3e-05,2e-06,,,,,,,,,,,
362.0,2.5e-05,2e-06,,,,,,,,,,,
362.1,2.7e-05,2e-06,,,,,,,,,,,
362.2,2.8e-05,2e-06,,,,,,,,,,,
362.3,3e-05,3e-06,,,,,,,,,,,
362.4,3.2e-05,3e-06,,,,,,,,,,,
362.5,3.4e-05,3e-06,,,,,,,,,,,
362.6,3.6e-05,3e-06,,,,,,,,,,,
362.7,3.8e-05,3e-06,,,,,,,,,,,
362.8,4.1e-05,3e-06,,,,,,,,,,,
362.9,4.3e-05,3e-06,,,,,,,,,,,
363.0,4.5e-05,3e-06,,,,,,,,,,,
363.1,4.7e-05,3e-06,,,,,,,,,,,
363.2,4.8e-05,3e-06,,,,,,,,,,,
363.3,5e-05,4e-06,,,,,,,,,,,
363.4,5.2e-05,4e-06,,,,,,,,,,,
363.5,5.7e-05,4e-06,,,,,,,,,,,
363.6,6.1e-05,4e-06,,,,,,,,,,,
363.7,6.6e-05,4e-06,,,,,,,,,,,
363.8,7.1e-05,4e-06,,,,,,,,,,,
363.9,7.6e-05,4e-06,,,,,,,,,,,
364.0,8e-05,4e-06,,,,,,,,,,,
364.1,8.1e-05,4e-06,,,,,,,,,,,
364.2,0.000101,4e-06,,,,,,,,,,,
364.3,0.000126,4e-06,,,,,,,,,,,
364.4,0.000135,4e-06,,,,,,,,,,,
364.5,0.00012,4e-06,,,,,,,,,,,
364.6,0.000127,4e-06,,,,,,,,,,,
364.7,0.000112,4e-06,,,,,,,,,,,
364.8,0.000181,4e-06,,,,,,,,,,,
364.9,0.000198,4e-06,,,,,,,,,,,
365.0,0.000246,4e-06,,,,,,,,,,,
365.1,0.000294,5e-06,,,,,,,,,,,
365.2,0.000238,5e-06,,,,,,,,,,,
365.3,0.000174,5e-06,,,,,,,,,,,
365.4,0.000302,5e-06,,,,,,,,,,,
365.5,0.000155,5e-06,,,,,,,,,,,
365.6,0.000112,5e-06,,,,,,,,,,,
365.7,0.000194,5e-06,,,,,,,,,,,
365.8,0.000279,5e-06,,,,,,,,,,,
365.9,0.000384,5e-06,,,,,,,,,,,
366.0,0.000398,5e-06,,,,,,,,,,,
366.1,0.000366,5e-06,,,,,,,,,,,
366.2,0.00044,5e-06,,,,,,,,,,,
366.3,0.00063,5e-06,,,,,,,,,,,
366.4,0.000612,5e-06,,,,,,,,,,,
366.5,0.000523,6e-06,,,,,,,,,,,
366.6,0.000386,6e-06,,,,,,,,,,,
366.7,0.000717,6e-06,,,,,,,,,,,
366.8,0.00082,6e-06,,,,,,,,,,,
366.9,0.000571,6e-06,,,,,,,,,,,
367.0,0.000633,6e-06,,,,,,,,,,,
367.1,0.000542,6e-06,,,,,,,,,,,
367.2,0.000336,6e-06,,,,,,,,,,,
367.3,0.000439,6e-06,,,,,,,,,,,
367.4,0.000853,6e-06,,,,,,,,,,,
367.5,0.000999,6e-06,,,,,,,,,,,
367.6,0.001187,6e-06,,,,,,,,,,,
367.7,0.001311,6e-06,,,,,,,,,,,
367.8,0.001131,6e-06,,,,,,,,,,,
367.9,0.001199,6e-06,,,,,,,,,,,
368.0,0.001302,6e-06,,,,,,,,,,,
368.1,0.001162,6e-06,,,,,,,,,,,
368.2,0.000742,6e-06,,,,,,,,,,,
368.3,0.001158,6e-06,,,,,,,,,,,
368.4,0.001439,6e-06,,,,,,,,,,,
368.5,0.001931,6e-06,,,,,,,,,,,
368.6,0.002216,6e-06,,,,,,,,,,,
368.7,0.002284,6e-06,,,,,,,,,,,
368.8,0.002038,7e-06,,,,,,,,,,,
368.9,0.002088,7e-06,,,,,,,,,,,
369.0,0.002504,7e-06,,,,,,,,,,,
369.1,0.003715,7e-06,,,,,,,,,,,
369.2,0.003608,7e-06,,,,,,,,,,,
369.3,0.003717,7e-06,,,,,,,,,,,
369.4,0.004182,7e-06,,,,,,,,,,,
369.5,0.00503,7e-06,,,,,,,,,,,
369.6,0.005644,7e-06,,,,,,,,,,,
369.7,0.005922,7e-06,,,,,,,,,,,
369.8,0.00616,7e-06,,,,,,,,,,,
369.9,0.006719,7e-06,,,,,,,,,,,
370.0,0.007177,7e-06,,,,,,,,,,,
370.1,0.007459,7e-06,,,,,,,,,,,
370.2,0.008054,7e-06,,,,,,,,,,,
370.3,0.00918,7e-06,,,,,,,,,,,
370.4,0.009988,7e-06,,,,,,,,,,,
370.5,0.010393,7e-06,,,,,,,,,,,
370.6,0.011528,7e-06,,,,,,,,,,,
370.7,0.012448,8e-06,,,,,,,,,,,
370.8,0.013816,7e-06,,,,,,,,,,,
370.9,0.015196,7e-06,,,,,,,,,,,
371.0,0.016429,7e-06,,,,,,,,,,,
371.1,0.017992,7e-06,,,,,,,,,,,
371.2,0.020672,7e-06,,,,,,,,,,,
371.3,0.022327,7e-06,,,,,,,,,,,
371.4,0.025097,7e-06,,,,,,,,,,,
371.5,0.028945,7e-06,,,,,,,,,,,
371.6,0.031564,7e-06,,,,,,,,,,,
371.7,0.035184,7e-06,,,,,,,,,,,
371.8,0.040208,7e-06,,,,,,,,,,,
371.9,0.045427,7e-06,,,,,,,,,,,
